qc_m,qc_f,q50_m,q50_f,qcb_m,qcb_f,qbj_m,qbj_f,qdot_m,qdot_f,qsc_m,qsc_f,qb_m,qb_f,qtc_m,qtc_f
0.0397877,0.016425,0.516331,0.306699,0.037164,0.0159652,0.0026236,0.0004598,0.0014255,0.001911,0.000537,0.000596,0.000562,0.000351,0.0000889,0.000219
0.0398101,0.0164554,0.525774,0.349731,0.037185,0.0159956,0.0026252,0.0004598,0.001427,0.0019135,0.000537,0.000596,0.000562,0.000351,0.0000889,0.0002201
0.0398292,0.0164797,0.533602,0.400017,0.0372028,0.0160184,0.0026264,0.0004613,0.0014269,0.0019162,0.000537,0.000596,0.000562,0.000352,0.0000889,0.0002201
0.0398451,0.0164979,0.540052,0.459132,0.0372178,0.0160367,0.0026273,0.0004613,0.001427,0.001919,0.000537,0.000596,0.000562,0.000352,0.0000889,0.0002201
0.0398546,0.0165135,0.54534,0.529089,0.0372265,0.0160522,0.002628,0.0004613,0.0014285,0.0019204,0.000537,0.000596,0.000562,0.000352,0.0000889,0.0002201
0.0398636,0.016524,0.549656,0.610498,0.037235,0.0160612,0.0026286,0.0004628,0.0014285,0.0019219,0.000537,0.000596,0.000562,0.000353,0.0000889,0.0002212
0.0398707,0.0165327,0.553167,0.623374,0.0372416,0.01607,0.002629,0.0004627,0.0014284,0.0019232,0.000537,0.000596,0.000563,0.000353,0.0000889,0.0002212
0.0398767,0.0165404,0.556016,0.634829,0.0372473,0.0160776,0.0026294,0.0004627,0.0014284,0.0019245,0.000537,0.000596,0.000563,0.000354,0.0000889,0.0002211
0.0398816,0.0165463,0.558322,0.644971,0.0372519,0.0160836,0.0026297,0.0004627,0.0014285,0.0019245,0.000537,0.000596,0.000563,0.000354,0.0000889,0.0002211
0,0.0165512,0,0.653909,0,0.0160885,0,0.0004628,0,0.0019246,0,0.000596,0,0.000354,0,0.0002212
0,0.0165539,0,0.661755,0,0.0160911,0,0.0004628,0,0.001926,0,0.000596,0,0.000354,0,0.0002212
